"","Country","HDI"
"1","Norway","0.949"
"2","Australia","0.939"
"3","Switzerland","0.939"
"4","Germany","0.926"
"5","Denmark","0.925"
"6","Singapore","0.925"
"7","Netherlands","0.924"
"8","Ireland","0.923"
"9","Iceland","0.921"
"10","Canada","0.920"
"11","United States","0.920"
"12","Hong Kong","0.917"
"13","New Zealand","0.915"
"14","Sweden","0.913"
"15","Liechtenstein","0.912"
"16","United Kingdom","0.909"
"17","Japan","0.903"
"18","South Korea","0.901"
"19","Israel","0.899"
"20","Luxembourg","0.898"
"21","France","0.897"
"22","Belgium","0.896"
"23","Finland","0.895"
"24","Austria","0.893"
"25","Slovenia","0.890"
"26","Italy","0.887"
"27","Spain","0.884"
"28","Czech Republic","0.878"
"29","Greece","0.866"
"30","Brunei","0.865"
"31","Estonia","0.865"
"32","Andorra","0.858"
"33","Cyprus","0.856"
"34","Malta","0.856"
"35","Qatar","0.856"
"36","Poland","0.855"
"37","Lithuania","0.848"
"38","Chile","0.847"
"39","Saudi Arabia","0.847"
"40","Slovakia","0.845"
"41","Portugal","0.843"
"42","United Arab Emirates","0.840"
"43","Hungary","0.836"
"44","Latvia","0.830"
"45","Argentina","0.827"
"46","Croatia","0.827"
"47","Bahrain","0.824"
"48","Montenegro","0.807"
"49","Russia","0.804"
"50","Romania","0.802"
"51","Kuwait","0.800"
"52","Belarus","0.796"
"53","Oman","0.796"
"54","Barbados","0.795"
"55","Uruguay","0.795"
"56","Bulgaria","0.794"
"57","Kazakhstan","0.794"
"58","Bahamas","0.792"
"59","Malaysia","0.789"
"60","Palau","0.788"
"61","Panama","0.788"
"62","Antigua and Barbuda","0.786"
"63","Seychelles","0.782"
"64","Mauritius","0.781"
"65","Trinidad and Tobago","0.780"
"66","Costa Rica","0.776"
"67","Serbia","0.776"
"68","Cuba","0.775"
"69","Iran","0.774"
"70","Georgia","0.769"
"71","Turkey","0.767"
"72","Venezuela","0.767"
"73","Sri Lanka","0.766"
"74","Saint Kitts and Nevis","0.765"
"75","Albania","0.764"
"76","Lebanon","0.763"
"77","Mexico","0.762"
"78","Azerbaijan","0.759"
"79","Brazil","0.754"
"80","Grenada","0.754"
"81","Bosnia and Herzegovina","0.750"
"82","Macedonia","0.748"
"83","Algeria","0.745"
"84","Armenia","0.743"
"85","Ukraine","0.743"
"86","Jordan","0.741"
"87","Peru","0.740"
"88","Thailand","0.740"
"89","Ecuador","0.739"
"90","China","0.738"
"91","Fiji","0.736"
"92","Mongolia","0.735"
"93","Saint Lucia","0.735"
"94","Jamaica","0.730"
"95","Colombia","0.727"
"96","Dominica","0.726"
"97","Suriname","0.725"
"98","Tunisia","0.725"
"99","Dominican Republic","0.722"
"100","Saint Vincent and the Grenadines","0.722"
"101","Tonga","0.721"
"102","World","0.717"
"103","Libya","0.716"
"104","Belize","0.706"
"105","Samoa","0.704"
"106","Maldives","0.701"
"107","Uzbekistan","0.701"
"108","Moldova","0.699"
"109","Botswana","0.698"
"110","Gabon","0.697"
"111","Paraguay","0.693"
"112","Egypt","0.691"
"113","Turkmenistan","0.691"
"114","Indonesia","0.689"
"115","Palestine","0.684"
"116","Vietnam","0.683"
"117","Philippines","0.682"
"118","El Salvador","0.680"
"119","Bolivia","0.674"
"120","South Africa","0.666"
"121","Kyrgyzstan","0.664"
"122","Iraq","0.649"
"123","Cape Verde","0.648"
"124","Morocco","0.647"
"125","Nicaragua","0.645"
"126","Guatemala","0.640"
"127","Namibia","0.640"
"128","Guyana","0.638"
"129","Micronesia","0.638"
"130","Tajikistan","0.627"
"131","Honduras","0.625"
"132","India","0.624"
"133","Bhutan","0.607"
"134","Timor Leste","0.605"
"135","Vanuatu","0.597"
"136","Congo, Republic of the","0.592"
"137","Equatorial Guinea","0.592"
"138","Kiribati","0.588"
"139","Laos","0.586"
"140","Bangladesh","0.579"
"141","Ghana","0.579"
"142","Zambia","0.579"
"143","São Tomé and Príncipe","0.574"
"144","Cambodia","0.563"
"145","Nepal","0.558"
"146","Myanmar","0.556"
"147","Kenya","0.555"
"148","Pakistan","0.550"
"149","Swaziland","0.541"
"150","Syria","0.536"
"151","Angola","0.533"
"152","Tanzania","0.531"
"153","Nigeria","0.527"
"154","Cameroon","0.518"
"155","Papua New Guinea","0.516"
"156","Zimbabwe","0.516"
"157","Solomon Islands","0.515"
"158","Mauritania","0.513"
"159","Madagascar","0.512"
"160","Rwanda","0.498"
"161","Comoros","0.497"
"162","Lesotho","0.497"
"163","Senegal","0.494"
"164","Haiti","0.493"
"165","Uganda","0.493"
"166","Sudan","0.490"
"167","Togo","0.487"
"168","Benin","0.485"
"169","Yemen","0.482"
"170","Afghanistan","0.479"
"171","Malawi","0.476"
"172","Côte d'Ivoire","0.474"
"173","Djibouti","0.473"
"174","Gambia","0.452"
"175","Ethiopia","0.448"
"176","Mali","0.442"
"177","Congo, Democratic Republic of the","0.435"
"178","Liberia","0.427"
"179","Guinea Bissau","0.424"
"180","Eritrea","0.420"
"181","Sierra Leone","0.420"
"182","Mozambique","0.418"
"183","South Sudan","0.418"
"184","Guinea","0.414"
"185","Burundi","0.404"
"186","Burkina Faso","0.402"
"187","Chad","0.396"
"188","Niger","0.353"
"189","Central African Republic","0.352"
